payment_id,customer_id,amount,payment_method,failure_reason,previous_transactions,previous_successes,retry_count,last_attempt_hours_ago,communication_consent,customer_opted_out,customer_tenure_days,recovered
PAY_00001,CUST_0103,939.24,upi,none,14,6,0,48,True,False,1296,1
PAY_00002,CUST_0436,2209.97,upi,network_error,18,16,1,12,True,False,1310,0
PAY_00003,CUST_0861,830.15,upi,none,7,0,0,6,True,False,1063,1
PAY_00004,CUST_0271,2065.98,net_banking,none,10,5,0,48,True,False,965,1
PAY_00005,CUST_0107,234.91,card,expired_card,8,3,0,48,True,False,372,0
PAY_00006,CUST_0072,960.53,card,network_error,14,11,0,48,False,False,549,1
PAY_00007,CUST_0701,1186.66,card,none,18,14,0,12,True,False,1003,1
PAY_00008,CUST_0021,1122.3,upi,none,5,4,0,48,True,False,1434,1
PAY_00009,CUST_0615,209.99,upi,network_error,14,11,1,12,True,False,1280,1
PAY_00010,CUST_0122,3652.3,upi,bank_timeout,10,4,0,2,True,False,476,1
PAY_00011,CUST_0467,466.53,net_banking,insufficient_funds,15,1,0,48,True,False,211,0
PAY_00012,CUST_0215,1533.08,wallet,none,6,4,0,24,True,False,405,1
PAY_00013,CUST_0331,1105.4,card,upi_pending,9,1,0,72,True,False,604,0
PAY_00014,CUST_0459,2992.04,upi,none,10,3,0,24,True,False,612,1
PAY_00015,CUST_0088,9774.08,upi,network_error,17,9,1,72,True,False,1419,1
PAY_00016,CUST_0373,301.76,upi,none,1,0,2,24,True,False,581,1
PAY_00017,CUST_0100,573.11,card,none,14,13,0,24,True,False,1154,1
PAY_00018,CUST_0872,1324.9,upi,hard_decline,4,4,0,12,True,False,25,0
PAY_00019,CUST_0664,363.09,net_banking,none,2,1,0,48,True,False,627,1
PAY_00020,CUST_0131,2397.5,upi,none,3,1,0,48,True,False,1114,1
PAY_00021,CUST_0662,2548.79,net_banking,insufficient_funds,7,0,0,24,True,False,1297,0
PAY_00022,CUST_0309,1918.79,card,none,14,3,0,48,False,False,341,1
PAY_00023,CUST_0770,1389.34,card,insufficient_funds,12,12,1,24,True,False,212,1
PAY_00024,CUST_0344,4314.38,card,none,19,4,0,48,True,False,914,1
PAY_00025,CUST_0492,345.29,card,none,18,5,1,72,True,False,1372,1
